Ключ;Утерянная позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница
"металлический садовый бордюр";33;3;;;365;24;7;7;3;17.1;280000;"plitkaekb.ru";"/bordyuryi-i-elementyi/"
"блок район";24;2;;;4521;10;127;3;3;0.3;624000;"plitkaekb.ru";"/stenovyie-bloki/"
"плитка калифорния";3;2;;;4314;170;127;4;3;4.6;0;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-kaliforniya/"
"пилорама ольховка";31;2;;;9;6;6;6;3;23.7;158000;"plitkaekb.ru";"/kontaktyi/"
"кафель укладка цена за м2";35;5;;;195;16;6;3;3;10;0;"plitkaekb.ru";"/ukladka-pod-klyuch/"
"армированная тротуарная плитка";2;3;;;382;14;4;4;3;0.3;199000;"plitkaekb.ru";"/trotuarnaya-plitka/armirovannaya/"
"гомеотон";40;1;;;168;42;7;3;3;0.3;2000000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/"
"тротуарная плитка некондиция";4;3;;;219;5;5;3;3;0.3;213000;"plitkaekb.ru";"/ycenka/"
"покрытие для дорожек на даче купить";5;6;;;211;66;3;3;3;23;19000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-dachi/"
"стоимость плитки";28;2;;;21937;81;428;5;3;24.6;486000;"plitkaekb.ru";"/trotuarnaya-plitka/"
"купить дождеприемник";22;2;;;3613;80;99;6;3;53.9;1000000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/view-dozhdepriemniki/"
"купить водоотводные лотки";27;3;;;9464;35;252;5;2;20.4;853000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/view-vodootvodnye-lotki/"
"купить гравий для садовых дорожек";45;5;;;383;100;14;2;2;0.3;868000;"plitkaekb.ru";"/bordyuryi-i-elementyi/"
"плитка тротуарная 500х500х50 в леруа мерлен";8;6;;;460;121;10;2;2;0.3;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/500x500/"
"купить бу плитку";31;3;;;4647;12;110;2;2;0.3;2000;"plitkaekb.ru";"/trotuarnaya-plitka/"
"заводы по производству тротуарной плитки";9;5;;;690;19;22;2;2;134.4;532000;"plitkaekb.ru";"/"
"водосборный лоток с решеткой";13;4;;;78;12;10;2;2;0.3;213000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/view-vodootvodnye-lotki/"
"клинкер тротуарный";17;2;;;762;74;11;2;2;0.3;190000;"plitkaekb.ru";"/trotuarnaya-plitka/"
"леруа плитка тротуарная для дорожек";29;5;;;327;29;6;2;2;0.3;262000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-dachi/"
"бордюр тротуарный цена";8;3;;;7521;138;129;11;2;49.6;0;"plitkaekb.ru";"/bordyuryi-i-elementyi/"
"размер дорожного бордюра";36;3;;;1195;85;18;6;2;21.4;2000;"plitkaekb.ru";"/bordyuryi-i-elementyi/"
"бетонная полусфера для парковки";37;4;;;582;21;16;2;2;46;271000;"plitkaekb.ru";"/bordyuryi-i-elementyi/parkovochnyij-barer/"
"ольховка свердловская область тротуарная плитка";1;5;;1;43;3;18;4;2;55.5;0;"plitkaekb.ru";"/"
"бордюр дорожный 1000х300х150 цена в екатеринбурге";13;6;;1;4;3;2;2;2;0.3;2000;"plitkaekb.ru";"/bordyuryi-i-elementyi/"
"затирка тротуарной плитки";24;3;;;1752;30;25;2;2;32.21;206000;"plitkaekb.ru";"/zadelka-shvov-troturnoi-plitki/"
"дорожная плитка для дачи";5;4;;;243;46;5;2;2;0.3;0;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-dachi/"
"нертекс д";45;2;;;21;4;2;2;2;0.3;2000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/"
"продажа блоков для строительства";28;4;;;83;10;3;3;2;0.3;0;"plitkaekb.ru";"/stenovyie-bloki/"
"плитка оригами тротуарная";35;3;;;39;3;5;4;2;0.3;218000;"plitkaekb.ru";"/trotuarnaya-plitka/"
"ромбовидная плитка";33;2;;;118;16;4;2;2;0.3;207000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-romb/"
"арго сетка екатеринбург";42;3;;1;2;2;4;4;2;0.3;258000;"plitkaekb.ru";"/"
"плитка под брусчатку напольная";17;4;;;19;7;3;3;2;43.5;177000;"plitkaekb.ru";"/trotuarnaya-plitka/"
"плитка во дворе частного дома";8;5;;;3056;103;23;2;2;11.5;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-dvora-doma/"
"докер плитка";42;2;;;26;3;18;2;2;24.9;357000;"plitkaekb.ru";"/trotuarnaya-plitka/"
"демонтаж старой плитки цена за м2";44;6;;;108;30;4;3;2;0.3;3000000;"plitkaekb.ru";"/ukladka-pod-klyuch/"
"стоимость бетонных блоков";6;3;;;230;7;9;2;2;18.1;527000;"plitkaekb.ru";"/stenovyie-bloki/"
"пц400";31;1;;;251;9;18;2;2;0.3;370000;"plitkaekb.ru";"/syipuchie-materialyi/portlandcement/portlandczement-pcz400d20-ii/a-sh-32,5b,-mesh.-50-kg/"
"соты купить";27;2;;;12647;30;243;2;2;3.9;760000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-sotyi/"
"решетка для водоотводного канала щелевая чугунная черная размером 500х237х25 мм";21;10;;;29;23;2;2;2;0.3;2000000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/vodootvodnyie-reshetki-dlya-lotkov/reshetka-vodopriemnaya-chugunnaya-yacheistaya-gidrolica-standart-dn100/"
"плитка тротуарная 300х300х30 купить в екатеринбурге недорого от производителя";3;9;;1;27;4;17;8;2;180.6;0;"plitkaekb.ru";"/trotuarnaya-plitka/300x300/"
"огнебиозащита сенеж";7;2;;;597;77;5;2;2;11.3;161000;"plitkaekb.ru";"/stroitelnyie-materialyi/propitki-dlya-dereva/senezh-ognebio-kan/"
"плиты тротуарные";10;2;;;10766;98;263;14;2;52.8;0;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/"
"уличная пластиковая плитка";36;3;;;74;4;7;2;2;0.3;260000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-dachi/"
"плитка тротуарная 500х500х50 цена за штуку";24;6;;;679;168;5;2;2;0.3;0;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-%C2%AB500-x-500%C2%BB/"
"плитка в виде сот";16;4;;;103;8;3;3;2;21.3;722000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-sotyi/"
"уралпрофит екатеринбург тротуарная плитка";23;4;;1;23;3;17;4;2;72.8;0;"plitkaekb.ru";"/trotuarnaya-plitka/"
"клей плиточный крепс усиленный 25 кг";50;6;;;29;9;3;2;2;0.3;1000000;"plitkaekb.ru";"/syipuchie-materialyi/klej-dlya-plitki-kreps-usilennyij/"
"демонтаж бортового камня";28;3;;;424;22;3;2;2;0.3;245000;"plitkaekb.ru";"/ukladka-pod-klyuch/"
"brozex ksb 17 блок";36;4;;;12;2;3;2;2;0.3;2000000;"plitkaekb.ru";"/syipuchie-materialyi/kladochnaya-smes/kladochnaya-smes-brozeks-ksb-17/"
"кроношпан осб";8;2;;;1785;142;39;2;2;30.5;131000;"plitkaekb.ru";"/stroitelnyie-materialyi/listovoj-material/osb-kronoshpan/"
"лоток водоотводный betomax";28;3;;;1066;21;27;2;2;0.3;222000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/lotki-vodootvodnyie/"
"фракция 5 10";13;3;;;1456;6;41;2;2;0.3;3000000;"plitkaekb.ru";"/syipuchie-materialyi/shcheben/shheben-navalom-frakcziya-5-10-mm/"
"артрозлато";37;1;;;127;24;3;3;2;0.3;2000000;"plitkaekb.ru";"/"
"геотекстиль под брусчатку";22;3;;;421;34;2;2;2;45.9;215000;"plitkaekb.ru";"/syipuchie-materialyi/geotekstil/geotekstil-plotnost-100-70-m-kv/"
"уличная плитка для крыльца";10;4;;;1586;122;21;2;2;55.1;306000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-krylca-doma/"
"тротуарная плитка первоуральск";36;3;;1;100;8;15;3;2;0.3;78000;"plitkaekb.ru";"/trotuarnaya-plitka/"
"песок речной купить в екатеринбурге с доставкой цена за куб";10;10;;1;2;2;8;8;2;12.2;1000000;"plitkaekb.ru";"/syipuchie-materialyi/pesok/rechnoj-pesok-dekorativnyij/"
"водоприемники для ливневки купить";23;4;;;141;75;2;2;2;0.3;807000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/view-dozhdepriemniki/"
"бордюр тротуарный 1000х200х80 цена екатеринбург купить";21;6;;1;2;2;2;2;2;87.9;2000000;"plitkaekb.ru";"/bordyuryi-i-elementyi/"
"плитка тротуарная 500х500х50 в леруа мерлен цена";10;7;;;156;80;2;2;2;0.3;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/"
"цератостигма купить";49;2;;;28;5;2;2;2;0.3;821000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/"
