Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"плитка тротуарная купить";3;3;;;63521;1197;918;45;17;171.1;668000;"plitkaekb.ru";"/polnyij-prajs-list/";7
"отсев в мешках купить в екатеринбурге";8;6;;1;50;19;34;17;17;22;722000;"plitkaekb.ru";"/stroitelnyie-materialyi/suxie-smesi/otsev-meshok/";
"плитка для благоустройства захоронения";1;4;;;34;17;17;17;17;0.3;304000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-kladbishcha/";0
"плитка тротуарная купить в екатеринбурге";4;5;;1;685;64;392;136;17;143.4;829000;"plitkaekb.ru";"/trotuarnaya-plitka/";-2
"тротуарная плитка купить";6;3;;;65004;1946;948;53;16;173.1;794000;"plitkaekb.ru";"/";3
"тротуарная плитка екатеринбург от производителя купить";2;6;;1;409;17;201;15;15;245.6;935000;"plitkaekb.ru";"/trotuarnaya-plitka/";0
"плитка екб";1;2;;1;611;19;280;19;15;74.7;53000;"plitkaekb.ru";"/";0
"тротуарная плитка купить в екатеринбурге недорого от производителя";3;8;;1;104;23;74;54;14;70.1;913000;"plitkaekb.ru";"/trotuarnaya-plitka/";1
"укладка тротуарной плитки цена работы за м2 в екатеринбурге";9;9;;1;29;16;19;14;14;6.8;3000000;"plitkaekb.ru";"/ukladka-pod-klyuch/";
"укладка тротуарной плитки в екатеринбурге";9;5;;1;33;16;29;14;14;366.5;196000;"plitkaekb.ru";"/ukladka-pod-klyuch/";
"бехатон тротуарная плитка екатеринбург купить";3;5;;1;29;22;15;14;14;47.4;825000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";1
"арго см екатеринбург плитка";1;4;;1;21;15;15;13;13;0.3;402000;"plitkaekb.ru";"/";0
"брусчатка купить";5;2;;;38479;1516;260;13;13;164.6;688000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";
"бордюрный камень";5;2;;;11247;644;347;12;12;66.6;232000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";3
"паребрик";5;1;;;3271;1160;37;12;12;75.1;1000000;"plitkaekb.ru";"/bordyuryi-i-elementyi/trotuarnyie-porebriki/";
"плитка соты купить в екатеринбурге";9;5;;1;14;13;12;11;11;45.5;872000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-sotyi/";4
"купить плитку калифорния дерево в екатеринбурге";1;6;;1;15;11;15;11;11;26.5;904000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/kaliforniya-derevo/";0
"рубероид купить в екатеринбурге";11;4;;1;36;13;45;45;11;49.8;745000;"plitkaekb.ru";"/stroitelnyie-materialyi/izolyaczionnyie-materialyi/ruberoid-rpp-300/";
"тротуарная плитка старый город";3;4;;;3032;265;44;15;10;156.8;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/staryi-gorod/";
"плитка тротуарная купить в екатеринбурге недорого от производителя";3;8;;1;270;21;147;91;10;103.4;688000;"plitkaekb.ru";"/trotuarnaya-plitka/";2
"плитка тротуарная 30 на 30 тучка екатеринбург";1;7;;1;10;10;10;10;10;0.3;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-tuchka/";0
"кольца бетонные для канализации цена екатеринбург";5;6;;1;43;23;17;10;10;104.9;711000;"plitkaekb.ru";"/betonnye-kolca/";
"шлакоблоки";6;1;;;80150;731;1170;102;10;84.9;2000000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";
"дождеприемники для ливневой канализации цена";9;5;;;273;205;12;9;9;78.8;2000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/view-dozhdepriemniki/";
"сенеж пропитка";10;2;;;6098;394;145;12;9;47.6;171000;"plitkaekb.ru";"/stroitelnyie-materialyi/propitki-dlya-dereva/senezh-bio-kan/";
"плитка тротуарная екатеринбург";4;3;;1;1312;24;794;124;9;192.6;210000;"plitkaekb.ru";"/";-1
"храбрая тротуарная плитка ул ленина 39 д ольховка отзывы";2;9;;;13;13;10;10;9;30.8;2000000;"plitkaekb.ru";"/otzyvy/";0
"тротуарная плитка бехатон";3;3;;;527;12;278;28;9;88.9;235000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";5
"гладкая тротуарная плитка в екатеринбурге";5;5;;1;17;9;13;9;9;0.3;221000;"plitkaekb.ru";"/trotuarnaya-plitka/";0
"бордюр дорожный";2;2;;;8077;361;129;14;9;67;322000;"plitkaekb.ru";"/bordyuryi-i-elementyi/bordyur-dorozhnyij-vibropressovanie/";
"бордюрный камень купить в екатеринбурге";3;5;;1;16;10;13;9;9;110.7;906000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";1
"щебень мелкой фракции";8;3;;;1410;98;40;9;9;43.2;304000;"plitkaekb.ru";"/syipuchie-materialyi/shcheben/";
"300 300";6;2;;;3854099;106;80806;4554;9;119.8;428000;"plitkaekb.ru";"/trotuarnaya-plitka/300x300/";3
"бортовые камни";4;2;;;28437;171;1055;34;8;85.8;266000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";
"рубероид купить в екатеринбурге по низкой цене";10;7;;1;31;10;21;13;8;46.5;1000000;"plitkaekb.ru";"/stroitelnyie-materialyi/izolyaczionnyie-materialyi/ruberoid-rpp-300/";
"какие достоинства имеет бетонный бордюр";8;5;1;;24;21;8;8;8;0.3;410000;"plitkaekb.ru";"/betonnyie-i-plastikovyie-sadovyie-bordyuryi-sravnenie/";0
"бехатон тротуарная плитка екатеринбург цена за квадратный метр";3;8;;1;16;14;10;8;8;0.3;1000000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";1
"храбрая плитка ольховка";1;3;;;105;12;44;8;8;0.3;215000;"plitkaekb.ru";"/";0
"шлакоблок купить";4;2;;;10138;397;137;14;8;41;738000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";
"бехотон";4;1;;;35;9;23;14;8;0.3;2000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";2
"строительные материалы в екатеринбурге";9;4;;1;154;14;61;8;8;58.8;924000;"plitkaekb.ru";"/stroitelnyie-materialyi/";
"бетонная плитка";3;2;;;24252;486;475;96;8;55;233000;"plitkaekb.ru";"/trotuarnaya-plitka/betonnaya/";6
"бетонная плитка для дорожек";3;4;;;1061;164;29;8;8;88.6;200000;"plitkaekb.ru";"/trotuarnaya-plitka/betonnaya/";6
"фасадная плитка для наружной отделки дома цена";8;7;;;1241;511;18;12;8;26.7;1000000;"plitkaekb.ru";"/obliczovochnyie-materialyi/";0
"отсев для тротуарной плитки купить в мешках";11;7;;;85;53;8;8;8;0.3;826000;"plitkaekb.ru";"/stroitelnyie-materialyi/suxie-smesi/otsev-meshok/";0
"купить бордюр тротуарный в екатеринбурге недорого";2;6;;1;36;9;25;7;7;0.3;846000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";1
"ксб 17 брозекс купить екатеринбург";8;5;;1;21;8;15;7;7;47.8;2000000;"plitkaekb.ru";"/stroitelnyie-materialyi/suxie-smesi/klej-dlya-blokov-iz-yacheistogo-betona-brozeks-ksb-17/";-2
"бордюры тротуарные купить в екатеринбурге";2;5;;1;223;15;148;64;7;80;904000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"поребрики";5;1;;;49271;522;641;96;7;100.6;2000000;"plitkaekb.ru";"/bordyuryi-i-elementyi/trotuarnyie-porebriki/";
"бордюрный камень екатеринбург";6;3;;1;69;8;43;7;7;39.4;208000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"бордюр садовый бетонный";4;3;;;2476;380;19;7;7;45.3;240000;"plitkaekb.ru";"/bordyuryi-i-elementyi/sadovyie-bordyuryi/";4
"купить тротуарную плитку";5;3;;;44331;799;741;50;7;88.4;783000;"plitkaekb.ru";"/";-1
"gidrolica light h96 купить";13;4;;;7;7;7;7;7;0.3;955000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/lotki-vodootvodnyie/lotok-vodootvodnyij-stalnoj-s-reshetkoj-gidrolica-light-dn100/";0
"храбрая тротуарная плитка екатеринбург";1;4;;1;24;13;17;9;7;181.4;219000;"plitkaekb.ru";"/";0
"купить песок";8;2;;;101333;738;1329;30;7;52.1;813000;"plitkaekb.ru";"/syipuchie-materialyi/pesok/";
"тротуарная плитка екатеринбург от производителя";1;5;;1;141;8;99;7;7;289.9;378000;"plitkaekb.ru";"/";2
"брусчатка тротуарная купить в екатеринбурге";2;5;;1;27;19;16;16;7;110.9;850000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";0
"бортовой камень тротуарный";1;3;;;481;82;22;8;7;41.1;288000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";7
"купить шлакоблок";8;2;;;7660;203;134;14;7;48.5;672000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";
"тротуарная";1;1;;;348476;157;5207;8;7;82.7;2000000;"plitkaekb.ru";"/";6
"плитка для садовых дорожек";6;4;;;10123;194;169;21;7;63.3;309000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-dachi/";
"бетонный блок";9;2;;;45731;609;863;32;7;49.6;340000;"plitkaekb.ru";"/stenovyie-bloki/";
"бордюр садовый купить в екатеринбурге бетонный";2;6;;1;7;7;7;7;7;2.9;813000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"купить плитку тротуарную";7;3;;;111456;693;1852;68;6;158.6;866000;"plitkaekb.ru";"/trotuarnaya-plitka/";-1
"екатеринбург тротуарная плитка фигурная";1;4;;1;8;6;6;6;6;0.3;261000;"plitkaekb.ru";"/trotuarnaya-plitka/figurnaya/";0
"плитка бехатон б у купить в екатеринбурге";7;7;;1;6;6;6;6;6;0.3;937000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";0
"стеклопластиковая арматура 12мм";9;3;;;361;57;26;6;6;46;2000000;"plitkaekb.ru";"/stroitelnyie-materialyi/metalloprokat-armatura-provoloka/stekloplastikovaya-armatura/";
"купить плитку тротуарную 50х50 в екатеринбурге цена";10;7;;1;6;6;6;6;6;96.5;2000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-500-x-500/";0
"plitkaekb ru";1;2;;;13;9;8;6;6;84.3;1000000;"plitkaekb.ru";"/";0
"купить бехатон в екатеринбурге";3;4;;1;62;10;43;43;6;16.5;727000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";-1
"укладка бехатона екатеринбург";5;3;;1;33;13;22;6;6;0.3;201000;"plitkaekb.ru";"/ukladka-pod-klyuch/";2
"бордюр дорожный купить в екатеринбурге";2;5;;1;8;7;7;7;6;76;903000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";5
"бордюр садовый купить в екатеринбурге";4;5;;1;23;7;14;10;6;13.1;758000;"plitkaekb.ru";"/bordyuryi-i-elementyi/sadovyie-bordyuryi/";4
"бардюра";9;1;;;2658;52;38;6;6;0.3;1000000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";
"водоотвод";6;1;;;13661;246;272;6;6;46.2;2000000;"plitkaekb.ru";"/elementyi-poverxnostnogo-vodootvoda/";
"грунтовка церезит ct 17 pro глубокого проникновения 10 л";10;9;;1;52;17;11;7;6;30.3;3000000;"plitkaekb.ru";"/stroitelnyie-materialyi/gruntovka/gruntovka-ceresit-st17-10l/";0
"тротуарная плитка цветная";8;3;;;635;12;12;6;6;18;238000;"plitkaekb.ru";"/trotuarnaya-plitka/figurnaya/";6
"купить плитку тротуарную в екатеринбурге";2;5;;1;664;15;384;94;6;127.6;681000;"plitkaekb.ru";"/trotuarnaya-plitka/";6
"брусчатка тротуарная";3;2;;;12098;1028;118;11;6;35.1;180000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";6
"храбрая тротуарная плитка";1;3;;;59;7;36;19;6;24.1;217000;"plitkaekb.ru";"/";0
"плитка облицовочная";6;2;;;16588;188;393;5;5;44.4;233000;"plitkaekb.ru";"/obliczovochnyie-materialyi/obliczovochnaya-plitka/";3
"плитка фасадная облицовочная";5;3;;;1889;341;24;5;5;52.3;248000;"plitkaekb.ru";"/obliczovochnyie-materialyi/";
"плитка тротуарная 8 кирпичей";3;4;;;1853;55;45;5;5;48.8;2000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-8-kirpichej/";3
"песок речной яшма 1т купить в екатеринбурге";3;7;;1;5;5;5;5;5;0.3;3000000;"plitkaekb.ru";"/stroitelnyie-materialyi/suxie-smesi/shheben-dekorativnyij-yashma-frakcziya-20-40mm-big-beg/";0
"бетонные плиты под дерево купить";8;5;;;7;5;6;5;5;0.3;2000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/kaliforniya-derevo/";0
"сколько стоит рубероид";11;3;1;;2494;208;37;5;5;0.3;14000;"plitkaekb.ru";"/stroitelnyie-materialyi/izolyaczionnyie-materialyi/ruberoid-rpp-300/";
"сколько штук бихотона в метре квадратных";2;6;1;;5;5;5;5;5;0.3;11000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";0
"тротуарная плитка 300х300х40 мм екатеринбург цена";4;6;;1;5;5;5;5;5;0.3;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/";0
"бордюр какого размера выбирают к брусчатке";4;6;1;;5;5;5;5;5;0.3;1000000;"plitkaekb.ru";"/vidyi-bordyurov-dlya-trotuarnoj-plitki/";0
"крепс усиленный клей для плитки характеристики инструкция по применению";15;9;;;17;15;5;5;5;6.3;595000;"plitkaekb.ru";"/syipuchie-materialyi/klej-dlya-plitki-kreps-usilennyij/";0
"бордюр тротуарный купить";5;3;;;9979;406;128;18;5;27.3;674000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"тротуарная плитка брусчатка";7;3;;;8414;275;76;6;5;17.6;167000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";-1
"купить шлакоблок в свердловской области";6;5;;1;38;17;8;5;5;14.4;1000000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";
"перегородочный блок размеры цена";9;4;;;281;87;9;5;5;15.3;1000000;"plitkaekb.ru";"/stenovyie-bloki/peregorodochnyij-blok/";0
"купить бордюр дорожный";4;3;;;554;36;16;5;5;0.3;911000;"plitkaekb.ru";"/bordyuryi-i-elementyi/bordyur-dorozhnyij-vibropressovanie/";-2
"плитка старый город";3;3;;;4837;349;92;9;5;16;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/staryi-gorod-40/";2
"бордюр бетонный";4;2;;;4230;127;83;5;5;104.4;182000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";2
"сип кабель 2х16 цена";6;4;;;690;108;21;6;5;23.5;4000000;"plitkaekb.ru";"/stroitelnyie-materialyi/elektrotovaryi/provod-sip4/";
"бетонирование площадки цена за м2";9;5;;;183;89;9;5;5;0.3;3000000;"plitkaekb.ru";"/ukladka-pod-klyuch/betonirovanie-ploshchadok-i-dorozhek/";-1
"размер бордюра";7;2;;;2481;115;51;8;5;0.3;590000;"plitkaekb.ru";"/vidyi-bordyurov-dlya-trotuarnoj-plitki/";
"бордюр бетонный купить стройснаб";8;4;;;5;5;5;5;5;0.3;766000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"плитка тротуарная 400х400х50";1;3;;;1514;119;38;5;5;71.6;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-8-kirpichej/";
"бехатон купить в екатеринбурге";2;4;;1;61;6;35;12;5;12.8;750000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";
"соединитель 3 4 внутренняя резьба";12;5;;;151;17;9;5;5;0.3;4000000;"plitkaekb.ru";"/stroitelnyie-materialyi/sad-i-ogorod/soedinitel-byistrosemnyij-vnutrennyaya-rezba/";0
"жб кольца для канализации цена екатеринбург";6;6;;1;10;7;10;10;5;30.9;717000;"plitkaekb.ru";"/betonnye-kolca/";
"тротуарная плитка кирпич купить екатеринбург";2;5;;1;13;5;13;5;5;0.3;643000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-kirpich/";0
"купить тротуарную плитку некондицию в екатеринбурге";9;6;;1;13;5;8;6;5;34.6;18000;"plitkaekb.ru";"/trotuarnaya-plitka/";0
"бордюрный камень купить";3;3;;;834;108;29;19;5;47.8;740000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";
"плитка тротуарная 300х300";4;3;;;288;24;17;7;5;173.5;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/300x300/";5
"тротуарная плитка от производителя";1;4;;;5297;304;140;5;5;32.4;322000;"plitkaekb.ru";"/trotuarnaya-plitka/";
"цементно песчаная смесь для тротуарной плитки";10;6;;;764;57;8;5;5;0.3;266000;"plitkaekb.ru";"/luchshaya-smes-dlya-ukladki-trotuarnoj-plitki/";
"плитка кол для плитки бехатон";1;5;;;5;5;5;5;5;0.3;254000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";0
"купить бордюр";1;2;;;51927;373;1114;6;4;138.7;829000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";4
"клей для плитки крепс усиленный 25кг";10;6;;;105;7;13;4;4;0.3;1000000;"plitkaekb.ru";"/syipuchie-materialyi/klej-dlya-plitki-kreps-usilennyij/";0
"плитка в гараж";9;3;;;7383;113;128;4;4;29.8;271000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-garazha/";
"уголок 40 40";10;3;;;10080;147;165;10;4;37.7;945000;"plitkaekb.ru";"/stroitelnyie-materialyi/metalloprokat-armatura-provoloka/ugol-40x40/";
"плитка тротуарная калифорния";4;3;;;2122;90;77;8;4;48.4;241000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-kaliforniya/";-1
"тротуарная плитка цена";3;3;;;48863;1064;552;13;4;103.6;948000;"plitkaekb.ru";"/trotuarnaya-plitka/";0
"где можно купить отсев для тротуарной плитки";8;7;1;;7;4;4;4;4;0.3;2000000;"plitkaekb.ru";"/stroitelnyie-materialyi/suxie-smesi/otsev-meshok/";0
"змеевик слэб";10;2;;;18;8;5;4;4;0.3;203000;"plitkaekb.ru";"/syipuchie-materialyi/pesok/zmeevik/";0
"стоимость укладки тротуарной плитки в екатеринбурге";9;6;;1;8;4;8;4;4;3.5;467000;"plitkaekb.ru";"/ukladka-pod-klyuch/";
"колодезные кольца";5;2;;;10538;189;83;4;4;37.1;197000;"plitkaekb.ru";"/betonnye-kolca/";
"плитка в ольховке сысертского района";1;5;;;14;4;9;4;4;0.3;539000;"plitkaekb.ru";"/";0
"купить плитку тротуарную в екатеринбурге от производителя недорого";2;8;;1;92;4;55;37;4;140;804000;"plitkaekb.ru";"/trotuarnaya-plitka/";0
"храбрая тротуарная плитка ул ленина 39 д ольховка фото";1;9;;;20;20;6;6;4;0.3;2000000;"plitkaekb.ru";"/portfolio/";0
"строительные блоки для стен виды размеры цена";9;7;;;164;88;4;4;4;0.3;2000000;"plitkaekb.ru";"/stenovyie-bloki/";
"укладка тротуарной плитки цена";5;4;;;2687;280;23;4;4;12.6;845000;"plitkaekb.ru";"/ukladka-pod-klyuch/";
"продажа шлакоблоков";3;2;;;337;16;13;4;4;0.3;468000;"plitkaekb.ru";"/stenovyie-bloki/stenovoj-blok/";
"плитка храбрая екатеринбург ольховка цены";2;5;;1;9;5;4;4;4;94.8;712000;"plitkaekb.ru";"/";0
"купить бордюр тротуарный";5;3;;;3849;76;67;11;4;48;762000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";2
"тротуарная плитка калифорния";5;3;;;736;44;66;10;4;14.4;201000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-kaliforniya/";1
"сыпучие строительные материалы";3;3;;;566;32;18;9;4;41.1;727000;"plitkaekb.ru";"/syipuchie-materialyi/pesok/";
"блоки бетонные";4;2;;;42347;231;726;33;4;36.7;297000;"plitkaekb.ru";"/stenovyie-bloki/";
"плитка для улицы";10;3;;;6702;445;66;4;4;53.3;355000;"plitkaekb.ru";"/trotuarnaya-plitka/";
"бихатон";5;1;;;43;14;28;4;4;0.3;2000;"plitkaekb.ru";"/bexaton-trotuarnaya-plitka/";0
"купить бордюры для тротуарной плитки";5;5;;;1201;137;17;12;4;46.9;733000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";3
"бордюрный камень тротуарный";4;3;;;1240;325;21;10;4;40.1;313000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";-2
"старый город плитка";5;3;;;3408;119;78;11;4;115.4;1000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/staryi-gorod/";2
"бордюрный бортовой камень";2;3;;;100;4;5;4;4;0.3;233000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"арматура стеклопластиковая купить в екатеринбурге";10;5;;1;121;11;44;44;4;41.4;749000;"plitkaekb.ru";"/stroitelnyie-materialyi/metalloprokat-armatura-provoloka/stekloplastikovaya-armatura/";
"купить брусчатку в екатеринбурге";2;4;;1;103;17;51;4;4;352.7;711000;"plitkaekb.ru";"/trotuarnaya-plitka/bruschatka/";2
"кольца кс стеновые цена";5;4;;;221;4;25;4;4;0.3;746000;"plitkaekb.ru";"/betonnye-kolca/stenovye-ks/";0
"тротуарная плитка волна";7;3;;;392;32;41;4;4;0.3;250000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-volna/";1
"купить бордюрный камень";6;3;;;1504;77;44;6;4;30.3;846000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";-1
"готика плитка тротуарная официальный сайт";9;5;;;145;57;4;4;4;0.3;2000000;"plitkaekb.ru";"/trotuarnaya-plitka/vibrolitaya/trotuarnaya-plitka-gotika/";0
"блоки из бетона";6;3;;;4748;27;118;73;4;0.3;298000;"plitkaekb.ru";"/stenovyie-bloki/";
"камень аппарель купить";6;3;;;22;7;7;4;4;0.3;814000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";0
"яхтный лак матовый";7;3;;;605;15;10;4;4;0.3;204000;"plitkaekb.ru";"/stroitelnyie-materialyi/lakokrasochnyie-materialyi/lak-yaxtnyij-parade-l20/";0
"уличная плитка";9;2;;;26181;659;282;13;4;25.8;2000;"plitkaekb.ru";"/trotuarnaya-plitka/morozostojkaya/";-5
"плитка на улицу";5;3;;;27599;139;284;4;4;0.3;478000;"plitkaekb.ru";"/trotuarnaya-plitka/morozostojkaya/";
"тротуарная плитка катушка";1;3;;;758;55;37;13;3;419.7;261000;"plitkaekb.ru";"/trotuarnaya-plitka/vibropressovannaya/trotuarnaya-plitka-katushka/";
"антипарковочные полусферы";3;2;;;720;28;25;3;3;0.3;197000;"plitkaekb.ru";"/betonnyie-polusferyi-primenenie-xarakteristiki/";
"клей для плитки крепс усиленный pro 25 кг";11;8;;;14;9;3;3;3;57.5;14000;"plitkaekb.ru";"/syipuchie-materialyi/klej-dlya-plitki-kreps-usilennyij/";
"облицовочные плиты";6;2;;;2365;55;54;3;3;16.7;223000;"plitkaekb.ru";"/obliczovochnyie-materialyi/";0
"купить плитку для крыльца на улице";13;6;;;1037;149;8;3;3;0.3;995000;"plitkaekb.ru";"/trotuarnaya-plitka/dlya-krylca-doma/";
"купить бордюр тротуарный в леруа мерлен";9;6;;;230;57;5;3;3;0.3;903000;"plitkaekb.ru";"/bordyuryi-i-elementyi/";15
