Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"бетонный кирпич";10;2;;;2434;109;95;20;9;12.6;201000;"www.betongrupp-ekb.ru";"/goods/155882619-kirpich_betonny_polutorny_vibropressovanny_ot_proizvoditelya";-7
"перемычки из полистиролбетона купить в екатеринбурге";6;6;;1;15;14;9;9;9;62;696000;"www.betongrupp-ekb.ru";"/catalog/k-8404166-peremychki_polistirolbetonnyye_ppb";
"л 10 8 2";11;4;;;1059;25;43;8;8;0.3;2000;"www.betongrupp-ekb.ru";"/goods/18920272-lotok_zhelezobetonny_l_10_8";-4
"отсев для тротуарной плитки купить в мешках";10;7;;;85;53;8;8;8;0.3;826000;"www.betongrupp-ekb.ru";"/goods/155875640-otsev_granitny_v_meshkakh_mkr_po_1_tonne";0
"битумная эмульсия купить";1;3;;;1619;126;55;8;8;90.9;19000;"www.betongrupp-ekb.ru";"/catalog/k-5133388-emulsiya_bitumnaya_dorozhnaya_ebk_i_uslugi_avtogudronatora";4
"бехатон тротуарная плитка екатеринбург цена за квадратный метр";4;8;;1;16;14;10;8;8;0.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";1
"асфальт купить в екатеринбурге цена";7;5;;1;224;17;145;8;8;49;1000000;"www.betongrupp-ekb.ru";"/catalog/k-805674-asfaltobetonnyye_smesi";3
"эмульсия битумная дорожная эбк 3 брит купить";2;7;;;8;8;8;8;8;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/266272728-emulsiya_bitumnaya_dorozhnaya_ebk_3_v_yevrokube_po_1000_litrov";0
"бехотон";9;1;;;35;9;23;14;8;0.3;2000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";-1
"полимерпесчаная плитка купить в екатеринбурге";4;5;;1;18;9;11;11;8;18.9;790000;"www.betongrupp-ekb.ru";"/catalog/k-8811420-polimer_peschanaya_trotuarnaya_plitka_i_produktsiya";
"тротуарная плитка кирпич коричневый купить екатеринбург";2;6;;1;8;8;8;8;8;0.3;822000;"www.betongrupp-ekb.ru";"/catalog/k-5576739-kirpich";0
"фбп блоки для фундамента";8;4;;;33;22;9;7;7;0.3;320000;"www.betongrupp-ekb.ru";"/catalog/k-3692900-unifitsirovannyye_dyrchatyye_bloki_fbp";0
"кср пр 39 50 f150 2400";12;6;;;19;10;16;7;7;22.5;2000000;"www.betongrupp-ekb.ru";"/goods/155882454-peskoblok_polnotely_xr_pr_pl_39_m200";0
"бордюр тротуарный 1000х200х80 цена вес за штуку";4;7;;;46;34;7;7;7;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/141141168-bordyur_trotuarny_br_100_20_8_1000kh200kh80_tsvet_sery";2
"деревянные опоры";3;2;;;18405;64;651;14;7;52.7;201000;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye";
"бордюр садовый бетонный";5;3;;;2476;380;19;7;7;45.3;240000;"www.betongrupp-ekb.ru";"/catalog/k-8116376-bordyur_sadovy";-2
"бордюр садовый купить в екатеринбурге бетонный";3;6;;1;7;7;7;7;7;2.9;813000;"www.betongrupp-ekb.ru";"/catalog/k-9954638-bordyurny_kamen";0
"деревянные опоры лэп купить в екатеринбурге";2;6;;1;20;10;10;10;7;38.9;1000000;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye";6
"кирпич бетонный";5;2;;;3898;77;197;34;7;13.4;170000;"www.betongrupp-ekb.ru";"/goods/67210730-kirpich_polutorny_m150";
"лсн купить екатеринбург";9;3;;1;13;7;13;7;7;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/22350921-stupen_lestnichnaya_lsn_12";0
"купить песок";10;2;;;101333;738;1329;30;7;52.1;813000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok";
"купить бордюр тротуарный 1000х200х80 в екатеринбурге";7;6;;1;15;7;10;7;7;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-8116437-bordyur_trotuarny_1000kh220kh80/ph:404734_1000kh200kh80-mm";0
"купить бордюр тротуарный в екатеринбурге недорого";4;6;;1;36;9;25;7;7;0.3;846000;"www.betongrupp-ekb.ru";"/catalog/k-8116437-bordyur_trotuarny_1000kh220kh80";3
"бордюры тротуарные купить в екатеринбурге";6;5;;1;223;15;148;64;7;80;904000;"www.betongrupp-ekb.ru";"/catalog/k-8116437-bordyur_trotuarny_1000kh220kh80";1
"купить полистирол блоки дешево в екатеринбурге";8;6;;1;7;7;7;7;7;0.3;902000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok";0
"полимерпесчаная плитка купить в екатеринбурге от производителя";9;7;;1;7;7;7;7;7;0.3;778000;"www.betongrupp-ekb.ru";"/catalog/k-8811420-polimer_peschanaya_trotuarnaya_plitka_i_produktsiya";-1
"тротуарная плитка новый город";4;4;;;3019;277;23;6;6;40.9;2000;"www.betongrupp-ekb.ru";"/catalog/k-10758359-novy_gorod";0
"купить бехатон в екатеринбурге";7;4;;1;62;10;43;43;6;16.5;727000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";-3
"тротуарная плитка колодец 300х300х30 серая";6;5;;;11;6;9;6;6;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-5576712-kolodets";0
"щебень купить в мешках";10;4;;;9696;83;190;8;6;25.4;884000;"www.betongrupp-ekb.ru";"/goods/155875696-shcheben_fr_5_20_v_meshkakh_mkr_po_1_tonne";
"удобрения земля в мешках в екатеринбурге";11;6;;1;6;6;6;6;6;10.8;526000;"www.betongrupp-ekb.ru";"/goods/160630444-plodorodnaya_zemlya_v_meshkakh_mkr_po_1_tonne";0
"бордюр садовый купить в екатеринбурге";7;5;;1;23;7;14;10;6;13.1;758000;"www.betongrupp-ekb.ru";"/catalog/k-8116376-bordyur_sadovy";0
"щебень в мешках купить в екатеринбурге";5;6;;1;12;6;12;6;6;33.6;990000;"www.betongrupp-ekb.ru";"/goods/155875696-shcheben_fr_5_20_v_meshkakh_mkr_po_1_tonne";
"полистиролблок купить в екатеринбурге от производителя";12;6;;1;7;7;6;6;6;89.1;770000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok";
"грунт в мешках";11;3;;;4488;84;61;6;6;10.5;282000;"www.betongrupp-ekb.ru";"/goods/160630444-plodorodnaya_zemlya_v_meshkakh_mkr_po_1_tonne";
"тротуарная плитка 6к 7 купить екатеринбург";13;6;;1;6;6;6;6;6;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/61988695-trotuarnaya_plitka_kvadrat_500kh500kh70_seraya";0
"бетон групп екатеринбург официальный сайт";2;5;;1;9;9;6;6;6;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog";0
"товарный бетон с доставкой";10;4;;;679;82;10;6;6;0.3;572000;"www.betongrupp-ekb.ru";"/catalog/k-223133-beton_tovarny";0
"бетон групп екатеринбург официальный сайт";1;5;;1;9;9;6;6;6;0.3;2000000;"www.betongrupp-ekb.ru";"/";1
"битумная эмульсия эбдк б";6;4;;;337;39;14;6;6;0.3;136000;"www.betongrupp-ekb.ru";"/goods/188644790-emulsiya_bitumnaya_dorozhnaya_ebdk_b_gost_r_58952_1_2020";0
"бордюр дорожный купить в екатеринбурге";10;5;;1;8;7;7;7;6;76;903000;"www.betongrupp-ekb.ru";"/catalog/k-10098572-dorozhny";-4
"опора деревянная пропитанная купить екатеринбург";2;5;;1;6;6;6;6;6;0.3;757000;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye";0
"плитка бехатон б у купить в екатеринбурге";8;7;;1;6;6;6;6;6;0.3;937000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";0
"сколько штук бихотона в метре квадратных";5;6;1;;5;5;5;5;5;0.3;11000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";0
"песок речной купить";9;3;;;10153;395;324;5;5;75.7;858000;"www.betongrupp-ekb.ru";"/goods/155875663-pesok_rechnoy_myty_v_meshkakh_po_30_kg";
"эбдк б";6;2;;;722;66;39;5;5;0.3;2000;"www.betongrupp-ekb.ru";"/goods/188644790-emulsiya_bitumnaya_dorozhnaya_ebdk_b_gost_r_58952_1_2020";-1
"купить асфальт в екатеринбурге с доставкой цена";8;7;;1;12;5;8;5;5;82.2;1000000;"www.betongrupp-ekb.ru";"/catalog/k-805677-goryachaya_asfaltobetonnaya_smes";
"лестничная балка бл1л 2800";8;4;;;5;5;5;5;5;0.3;2000;"www.betongrupp-ekb.ru";"/goods/153347548-lestnichnaya_balka_bl_1_l_2_8_2800_300_300";0
"производство блок фбс 9 4 3т 880х400х280";3;7;;;5;5;5;5;5;0.3;2000;"www.betongrupp-ekb.ru";"/goods/148666877-blok_fundamentny_fbs_9_4_3t_880_400_280_gost_13579_78";0
"жл";6;1;;;10792;861;196;14;5;0.3;2000;"www.betongrupp-ekb.ru";"/goods/64457992-zhelob_lineyny_zhl_1_1000kh310kh250";
"плитка тротуарная 8 кирпичей";6;4;;;1853;55;45;5;5;48.8;2000;"www.betongrupp-ekb.ru";"/catalog/k-5576702-8_kripichey";-2
"бетонные плиты под дерево купить";9;5;;;7;5;6;5;5;0.3;2000;"www.betongrupp-ekb.ru";"/catalog/k-7008741-kaliforniya_derevo";0
"эмульсия битумная";9;2;;;10524;105;286;24;5;22.4;186000;"www.betongrupp-ekb.ru";"/catalog/k-5133388-emulsiya_bitumnaya_dorozhnaya_ebk_i_uslugi_avtogudronatora";
"бехатон купить в екатеринбурге";8;4;;1;61;6;35;12;5;12.8;750000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";
"тротуарная плитка квадрат 300 300 70 екатеринбург";3;7;;1;5;5;5;5;5;0.3;734000;"www.betongrupp-ekb.ru";"/goods/61987829-trotuarnaya_plitka_kvadrat_300kh300kh70_seraya";0
"купить бордюр дорожный";10;3;;;554;36;16;5;5;0.3;911000;"www.betongrupp-ekb.ru";"/catalog/k-10098572-dorozhny";-1
"плитка старый город";9;3;;;4837;349;92;9;5;16;1000000;"www.betongrupp-ekb.ru";"/catalog/k-5576743-stary_gorod";-7
"ам бетон березовский поселок ленинский 28в отзывы";14;7;;1;6;6;6;6;5;0.3;4000000;"www.betongrupp-ekb.ru";"/pages/8717-adresa-skladov";0
"бордюр бетонный";10;2;;;4230;127;83;5;5;104.4;182000;"www.betongrupp-ekb.ru";"/catalog/k-9954638-bordyurny_kamen";
"эбк 1 битумная эмульсия";5;4;;;259;18;9;5;5;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/31538427-emulsiya_bitumnaya_dorozhnaya_ebk_1";0
"бордюр бетонный купить стройснаб";6;4;;;5;5;5;5;5;0.3;766000;"www.betongrupp-ekb.ru";"/catalog/k-8116376-bordyur_sadovy";0
"асфальтобетон купить";3;2;;;960;69;18;5;5;3.8;807000;"www.betongrupp-ekb.ru";"/catalog/k-805674-asfaltobetonnyye_smesi";
"тротуарная плитка кирпич купить екатеринбург";3;5;;1;13;5;13;5;5;0.3;643000;"www.betongrupp-ekb.ru";"/catalog/k-5576739-kirpich";0
"бордюрный камень купить";8;3;;;834;108;29;19;5;47.8;740000;"www.betongrupp-ekb.ru";"/catalog/k-8116376-bordyur_sadovy";
"песок строительный цена за 1 м3 с доставкой екатеринбург";7;9;;1;8;7;6;5;5;0.3;3000000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok";
"плитка газонная решетка";10;3;;;605;64;23;6;5;21;271000;"www.betongrupp-ekb.ru";"/catalog/k-7861851-gazonnaya_reshetka";-8
"песок купить в екатеринбурге с доставкой цена за куб";9;9;;1;64;9;43;5;5;23.2;1000000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok";
"полуторный 250x120x88 мм";8;3;;;7;5;5;5;5;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/67210741-kirpich_polutorny_m200";0
"асфальт в мешках";12;3;;;3110;199;59;5;5;10.5;268000;"www.betongrupp-ekb.ru";"/goods/152578769-asfalt_kholodny_v_meshkakh_po_33_kg_so_sklada_raspolozhennogo_v_yekaterinburge";-2
"плитка кол для плитки бехатон";8;5;;;5;5;5;5;5;0.3;254000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";0
"пенополистирольные блоки цена за куб";13;5;;;19;9;9;4;4;0.3;948000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok";0
"43 15";5;2;;;34219;98;624;8;4;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/18989320-plita_perekrytiya_pb_43_15_8";
"столб бетонный для электросетей цена";9;5;;;205;38;4;4;4;0.3;860000;"www.betongrupp-ekb.ru";"/catalog/k-5578828-opory_lep";0
"ступени из бетона для крыльца купить";6;6;;;122;49;4;4;4;0.3;1000000;"www.betongrupp-ekb.ru";"/catalog/k-475573-stupeni";0
"6к7 плитка тротуарная";8;3;;;213;48;17;4;4;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/61988695-trotuarnaya_plitka_kvadrat_500kh500kh70_seraya";2
"асфальт купить екатеринбург";8;3;;1;845;5;539;4;4;12.2;862000;"www.betongrupp-ekb.ru";"/catalog/k-805674-asfaltobetonnyye_smesi";2
"отсев гравийный фракция 0 5 мм цена";6;7;;;36;22;12;4;4;0.3;4000000;"www.betongrupp-ekb.ru";"/catalog/k-223143-otsev";0
"холодный асфальт купить в екатеринбурге леруа мерлен";9;7;;1;17;4;9;4;4;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/152578769-asfalt_kholodny_v_meshkakh_po_33_kg_so_sklada_raspolozhennogo_v_yekaterinburge";0
"тактильная плитка 500х500х50 желтая цена";12;5;;;236;172;6;4;4;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-5576724-taktilnaya";-4
"купить бетонные ступени екатеринбург";6;4;;1;10;4;8;4;4;0.3;917000;"www.betongrupp-ekb.ru";"/catalog/k-475573-stupeni";0
"плита дорожная 6000х2000х140 купить в екатеринбурге";10;6;;1;19;14;10;4;4;6.7;1000000;"www.betongrupp-ekb.ru";"/goods/31232671-plita_dorozhnaya_pdn_6000_2000_140";-5
"керамзитобетон м200";7;2;;;210;88;11;4;4;0.3;839000;"www.betongrupp-ekb.ru";"/catalog/k-223135-keramzitobeton";0
"асфальт цена";10;2;;;14342;165;244;5;4;94.2;778000;"www.betongrupp-ekb.ru";"/catalog/k-805674-asfaltobetonnyye_smesi";
"газонная решетка купить в екатеринбурге";10;5;;1;17;7;14;4;4;29.3;676000;"www.betongrupp-ekb.ru";"/catalog/k-7861851-gazonnaya_reshetka";0
"бетонгруппстрой екатеринбург официальный сайт";2;4;;1;5;5;4;4;4;0.3;2000000;"www.betongrupp-ekb.ru";"/";0
"лк 3 телефон";14;3;;;51;11;4;4;4;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/27342068-lotok_lk_3";0
"500х500х70";11;1;;;267;6;10;4;4;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/61988695-trotuarnaya_plitka_kvadrat_500kh500kh70_seraya";0
"плита канальная";10;2;;;756;19;20;4;4;11.5;229000;"www.betongrupp-ekb.ru";"/catalog/k-8549353-plity_perekrytiya_kanalov_po_serii_rk_2303_86";0
"монохим 1010";7;2;;;10;5;7;4;4;0.3;171000;"www.betongrupp-ekb.ru";"/goods/300455037-monokhim_1010p_gidroizolyatsionny_pronikayushchi_sostav";0
"ступень бетонная купить";8;3;;;1151;48;25;4;4;8.5;576000;"www.betongrupp-ekb.ru";"/catalog/k-475573-stupeni";0
"перемычки брусковые";7;2;;;2903;71;84;12;4;26.1;190000;"www.betongrupp-ekb.ru";"/catalog/k-475574-peremychki_bruskovyye_pb";
"бихатон";10;1;;;43;14;28;4;4;0.3;2000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";0
"удб";2;1;;;831;35;31;4;4;0.3;3000000;"www.betongrupp-ekb.ru";"/catalog/k-472367-unifitsirovanny_dyrchaty_blok_udb";5
"газонная решетка булыжник";1;3;;;6;4;4;4;4;16.61;159000;"www.betongrupp-ekb.ru";"/catalog/k-7863104-vibrolitaya_gazonnaya_reshetka";0
"купить куб песка";4;3;;;1585;78;26;4;4;0.3;794000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok";0
"полистеролбетоновые блоки цена";5;3;;;601;203;22;10;4;58.9;914000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok";
"жидкий асфальт купить";9;3;;;821;241;11;6;4;13.3;895000;"www.betongrupp-ekb.ru";"/catalog/k-805675-kholodnaya_asfaltobetonnaya_smes";0
"холодный асфальт цена";10;3;;;2736;408;72;4;4;0.3;898000;"www.betongrupp-ekb.ru";"/goods/152578769-asfalt_kholodny_v_meshkakh_po_33_kg_so_sklada_raspolozhennogo_v_yekaterinburge";-4
"бордюр вибропрессованный 1000х200х80";9;3;;;107;17;8;4;4;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/141141168-bordyur_trotuarny_br_100_20_8_1000kh200kh80_tsvet_sery";2
"кирпич бетонный купить";6;3;;;225;6;23;4;4;15.2;811000;"www.betongrupp-ekb.ru";"/catalog/k-8118716-kirpich_betonny_gladki";0
"фундамент оп 2";8;3;;;115;10;5;4;4;79.5;3000000;"www.betongrupp-ekb.ru";"/goods/27341507-fundament_op_2";0
"купить бордюрный камень";10;3;;;1504;77;44;6;4;30.3;846000;"www.betongrupp-ekb.ru";"/catalog/k-9954638-bordyurny_kamen";
"бетонный квадрат";9;2;;;795;16;26;3;3;7.2;2000;"www.betongrupp-ekb.ru";"/catalog/k-5576741-kvadrat";
"газонная решетка из бетона";5;4;;;144;25;5;3;3;0.3;199000;"www.betongrupp-ekb.ru";"/catalog/k-7861851-gazonnaya_reshetka";0
"35 15";6;2;;;35746;202;662;6;3;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/22168733-plita_nsp_35_15_3500_1500_250";
"камень бехатон";8;2;;;17;3;16;3;3;0.3;2000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";2
"кабельный колодец железобетонный";10;3;;;151;5;5;3;3;0.3;212000;"www.betongrupp-ekb.ru";"/catalog/k-10560977-kolodtsy_kabelnyye";0
"опора деревянная 11 м пропитанная цена";6;6;;;33;30;3;3;3;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye";0
"плитка бехатон";9;2;;;185;6;105;3;3;12.3;216000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";1
"70 15";10;2;;;59071;98;919;4;3;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/22207798-plita_perekrytiya_pb_70_15_8";-3
"битум для асфальта в банках";6;5;;;17;12;3;3;3;0.3;504000;"www.betongrupp-ekb.ru";"/catalog/k-11268664-emulsiya_bitumnaya_dorozhnaya_v_bochkakh";0
"тротуарная плитка старый город купить в екатеринбурге";6;7;;1;23;23;13;3;3;9.2;2000000;"www.betongrupp-ekb.ru";"/catalog/k-5576743-stary_gorod";-4
"ступени бетонные для лестниц";6;4;;;785;47;15;3;3;32.4;243000;"www.betongrupp-ekb.ru";"/catalog/k-475573-stupeni";2
"цементно песчаные блоки купить";4;4;;;105;11;7;3;3;0.3;922000;"www.betongrupp-ekb.ru";"/catalog/k-5576736-peskoblok";0
"купить бордюр тротуарный в леруа мерлен";6;6;;;230;57;5;3;3;0.3;903000;"www.betongrupp-ekb.ru";"/catalog/k-8116437-bordyur_trotuarny_1000kh220kh80";4
"купить бехатон";5;2;;;315;4;184;3;3;3.9;882000;"www.betongrupp-ekb.ru";"/catalog/k-10042731-bekhaton";1
"арболитовые блоки цена за куб в екатеринбурге";10;7;;1;5;4;3;3;3;0.3;966000;"www.betongrupp-ekb.ru";"/goods/128683926-arbolitovy_blok_500_300_200";
"бордюр тротуарный для садовых дорожек цена";8;6;;;124;52;3;3;3;0.3;990000;"www.betongrupp-ekb.ru";"/catalog/k-9954638-bordyurny_kamen";0
