Ключ;Утерянная позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница
"где купить землю для огорода";19;5;1;;226;175;18;16;16;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/160630444-plodorodnaya_zemlya_v_meshkakh_mkr_po_1_tonne"
"холодный асфальт в мешках купить в екатеринбурге";9;7;;1;26;18;23;23;16;23.6;943000;"www.betongrupp-ekb.ru";"/goods/152578769-asfalt_kholodny_v_meshkakh_po_33_kg_so_sklada_raspolozhennogo_v_yekaterinburge"
"фбс купить";8;2;;;9936;107;319;14;14;62.5;848000;"www.betongrupp-ekb.ru";"/catalog/k-470922-fundamentny_blok_fbs"
"тротуарная плитка купить в екатеринбурге недорого от производителя";5;8;;1;104;23;74;54;14;70.1;913000;"www.betongrupp-ekb.ru";"/catalog/k-4078057-vibrolitaya_trotuarnaya_plitka"
"плитка тротуарная 500х500х50 купить в екатеринбурге";2;6;;1;60;33;26;14;12;124.9;0;"www.betongrupp-ekb.ru";"/goods/154808516-trotuarnaya_plitka_gladkaya_500kh500kh50_tsvet_sery"
"полусфера бетонная купить в екатеринбурге";10;5;;1;36;15;26;11;11;41.3;815000;"www.betongrupp-ekb.ru";"/catalog/k-5576699-polusfery"
"клей фасадный для сетки цена";11;5;;;153;53;13;11;11;0.3;839000;"www.betongrupp-ekb.ru";"/goods/147647504-kley_cbs_fasadny_dlya_min_plity_fasadnogo_utepleniya_25_kg"
"бетонные блоки купить в екатеринбурге";7;5;;1;75;14;54;16;11;84.9;0;"www.betongrupp-ekb.ru";"/catalog/k-10560814-bloki"
"что такое жби в екатеринбурге";23;5;1;1;14;14;12;11;11;99.8;7000;"www.betongrupp-ekb.ru";"/catalog/k-221398-zhbi"
"купить песок в мешках в екатеринбурге";4;6;;1;203;10;162;40;10;143.3;864000;"www.betongrupp-ekb.ru";"/goods/155875663-pesok_rechnoy_myty_v_meshkakh_po_30_kg"
"полистиролбетон купить";10;2;;;3223;262;321;11;9;88.8;0;"www.betongrupp-ekb.ru";"/catalog/k-2607037-polistirolbeton_tovarny"
"купить землю в мешках в екатеринбурге";8;6;;1;60;9;50;8;8;10.8;0;"www.betongrupp-ekb.ru";"/goods/160630444-plodorodnaya_zemlya_v_meshkakh_mkr_po_1_tonne"
"плитка тротуарная старый город";7;4;;;7652;256;128;34;8;108.6;0;"www.betongrupp-ekb.ru";"/catalog/k-5576743-stary_gorod"
"бетонная плитка";8;2;;;24252;486;475;96;8;55;233000;"www.betongrupp-ekb.ru";"/pages/16173-trotuarnaya-plitka"
"куб бетона с доставкой";42;4;;;17453;160;111;8;8;11;463000;"www.betongrupp-ekb.ru";"/catalog/k-223133-beton_tovarny"
"кросс блок екатеринбург";10;3;;1;50;8;41;8;8;24.4;403000;"www.betongrupp-ekb.ru";"/catalog/k-10474726-bloki_fundamentnyye_unifitsirovannyye_dyrchatyye"
"бетон м 150 цена";30;4;;;184;95;7;7;7;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/22052690-beton_m_150_v12_5"
"бордюрный камень екатеринбург";15;3;;1;69;8;43;7;7;39.4;208000;"www.betongrupp-ekb.ru";"/catalog/k-4078059-bordyurnyye_kamni_i_vodostoki"
"купить жби";2;2;;;20605;106;2428;7;7;4.9;877000;"www.betongrupp-ekb.ru";"/catalog/k-221398-zhbi"
"брусчатка тротуарная купить в екатеринбурге";10;5;;1;27;19;16;16;7;110.9;850000;"www.betongrupp-ekb.ru";"/catalog/k-5576703-bruschatka"
"плита укрепления п1";8;3;;;17;12;7;7;7;0.6;3000000;"www.betongrupp-ekb.ru";"/goods/22173471-plita_ukrepleniya_otkosov_p_1_490_490_100"
"плита укрепления п 2";7;4;;;43;16;17;7;7;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/10931150-plitka_kyuvetnaya_p_2_850kh490kh80"
"купить асфальт в мешках";8;4;;;5468;106;229;6;6;25.3;820000;"www.betongrupp-ekb.ru";"/catalog/k-805675-kholodnaya_asfaltobetonnaya_smes"
"решетка газонная";10;2;;;14388;224;293;10;6;265.4;212000;"www.betongrupp-ekb.ru";"/catalog/k-7861851-gazonnaya_reshetka"
"железобетонные сваи для фундамента цена";6;5;;;236;77;6;6;6;56.6;0;"www.betongrupp-ekb.ru";"/catalog/k-472365-svai_obshchestroitelnyye?page=3"
"клей фасадный";9;2;;;8046;317;152;6;6;17.6;205000;"www.betongrupp-ekb.ru";"/goods/147647504-kley_cbs_fasadny_dlya_min_plity_fasadnogo_utepleniya_25_kg"
"м350 бетон класс";23;3;;;757;50;36;6;6;0.3;870000;"www.betongrupp-ekb.ru";"/goods/20862271-beton_m_350_v25"
"шлакоблок купить в екатеринбурге от производителя";8;6;;1;30;10;12;6;6;51.2;0;"www.betongrupp-ekb.ru";"/catalog/k-9204758-shlakoblok"
"л1 8 2";9;3;;;533;83;24;6;6;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/18920254-lotok_zhelezobetonny_l_1_8"
"перемычки пб";9;2;;;1809;43;79;6;6;50.2;0;"www.betongrupp-ekb.ru";"/catalog/k-475574-peremychki_bruskovyye_pb"
"кинг флор";8;2;;;63;13;7;6;6;7.2;64000;"www.betongrupp-ekb.ru";"/catalog/k-8917760-nalivnoy_promyshlenny_pol/ph:722554_king-floor"
"купить холодный асфальт";8;3;;;5288;164;79;6;6;22.1;784000;"www.betongrupp-ekb.ru";"/catalog/k-805675-kholodnaya_asfaltobetonnaya_smes"
"вентиляционные блоки";5;2;;;3617;94;131;14;6;213.7;331000;"www.betongrupp-ekb.ru";"/catalog/k-5576733-ventblok"
"ккср 2 10 80 гек";6;5;;;798;48;23;6;6;0.3;9000;"www.betongrupp-ekb.ru";"/goods/153918071-kabelny_kolodets_kxr_2_10_80_gek"
"речной песок купить в екатеринбурге в мешках";4;7;;1;47;7;35;13;6;31.3;784000;"www.betongrupp-ekb.ru";"/goods/155875663-pesok_rechnoy_myty_v_meshkakh_po_30_kg"
"бр 100 30 18";7;4;;;62;23;11;8;6;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/62031945-kamen_bordyurny_1000kh300kh180_sery"
"труба жби";7;2;;;2194;80;54;5;5;54.1;316000;"www.betongrupp-ekb.ru";"/catalog/k-474219-truby_zhelezobetonnyye_beznapornyye"
"земля в мешках купить";5;4;;;5872;256;100;11;5;22.1;2000;"www.betongrupp-ekb.ru";"/goods/160630444-plodorodnaya_zemlya_v_meshkakh_mkr_po_1_tonne"
"плита дорожная 3000х1750 цена";6;4;;;729;580;9;9;5;42.4;1000000;"www.betongrupp-ekb.ru";"/goods/66521515-plita_dorozhnaya_1p_30_18_10_3000kh1750_mm"
"пп 20";7;2;;;14293;195;402;5;5;18.4;2000000;"www.betongrupp-ekb.ru";"/goods/152597872-plita_perekrytiya_kolodtsa_pp20"
"бордюр тротуарный купить";7;3;;;9979;406;128;18;5;27.3;674000;"www.betongrupp-ekb.ru";"/catalog/k-8116437-bordyur_trotuarny_1000kh220kh80"
"купить песок с карьера";10;4;;;358;85;6;5;5;0.3;986000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok"
"лоток л1 8 2";11;4;;;220;36;18;5;5;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/18920254-lotok_zhelezobetonny_l_1_8"
"раствор на отсеве";9;3;;;205;5;71;5;5;20.7;200000;"www.betongrupp-ekb.ru";"/catalog/k-321429-rastvor_stroitelny_na_otseve"
"купить вентблоки";6;2;;;214;7;20;6;5;17.2;627000;"www.betongrupp-ekb.ru";"/catalog/k-5576733-ventblok"
"битумная эмульсия купить в екатеринбурге";3;5;;1;21;7;13;5;5;24.9;0;"www.betongrupp-ekb.ru";"/catalog/k-5133388-emulsiya_bitumnaya_dorozhnaya_ebk_i_uslugi_avtogudronatora"
"фундамент ф1 под дорожные знаки цена";11;6;;;52;47;5;5;5;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/64463319-fundament_f1_1100kh700kh700"
"плитка 8 кирпичей";5;3;;;2335;85;66;5;5;9.5;0;"www.betongrupp-ekb.ru";"/catalog/k-5576702-8_kripichey"
"перемычка бетонная";10;2;;;3656;85;75;6;5;16.11;0;"www.betongrupp-ekb.ru";"/catalog/k-5579460-peremychki"
"плитка бетонная";7;2;;;35446;156;648;18;5;53.7;0;"www.betongrupp-ekb.ru";"/catalog/k-4074957-vibropressovannaya_trotuarnaya_plitka"
"холодный асфальт купить в екатеринбурге";7;5;;1;41;9;30;5;5;19.6;735000;"www.betongrupp-ekb.ru";"/catalog/k-805675-kholodnaya_asfaltobetonnaya_smes"
"2пб 13 1п";10;3;;;250;59;14;5;5;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/26348287-peremychka_bruskovaya_2pb_13_1"
"купить искусственный камень для наружной отделки";31;6;;;88;13;7;5;5;0.3;919000;"www.betongrupp-ekb.ru";"/catalog/k-4102598-dekorativny_iskusstvenny_kamen"
"фундамент для дорожных знаков";14;4;;;347;8;19;9;5;9.7;440000;"www.betongrupp-ekb.ru";"/catalog/k-3434516-fundamenty_dorozhnykh_znakov_po_serii_3_503_9_80"
"плитка тротуарная 300х300";19;3;;;288;24;17;7;5;173.5;1000000;"www.betongrupp-ekb.ru";"/goods/124578517-trotuarnaya_plitka_shagren_300kh300kh30_seraya"
"тротуарная плитка от производителя";10;4;;;5297;304;140;5;5;32.4;322000;"www.betongrupp-ekb.ru";"/pages/16173-trotuarnaya-plitka"
"установка столбов под электричество цена";15;5;;;467;89;14;5;5;12.6;1000000;"www.betongrupp-ekb.ru";"/catalog/k-8573159-opory_lep_derevyannyye"
"гранитный бортовой камень кбртгп1";3;4;;;28;8;10;5;5;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/168731634-bordyur_granitny_gp_1_ot_proizvoditelya"
"лотки железобетонные водопропускные прямоугольного сечения";44;5;;;27;12;7;5;5;0.3;232000;"www.betongrupp-ekb.ru";"/goods/64462942-zh_b_lotok_pryamougolnogo_secheniya_otverstiyem_0_5m_vysotoy_0_5m"
"шабровский бетонный завод";24;3;;;18;10;9;6;5;153.8;9000;"www.betongrupp-ekb.ru";"/contacts"
"вентблок";2;1;;;2682;84;76;9;4;38.9;3000000;"www.betongrupp-ekb.ru";"/catalog/k-5576733-ventblok"
"бр 100 45 18";14;4;;;30;12;8;4;4;0.3;2000;"www.betongrupp-ekb.ru";"/goods/66642600-bordyur_dorozhny_br_100_45_18"
"песок мелкий";23;2;;;8027;96;107;5;4;0.3;288000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok"
"бетонный блок купить в екатеринбурге";8;5;;1;86;4;54;13;4;49;2000;"www.betongrupp-ekb.ru";"/catalog/k-10042736-stroitelnyye_bloki"
"лк 300 60 45";5;4;;;22;4;14;4;4;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/26746366-lotok_kanalov_lk_300_60_45"
"холодный асфальт в мешках 50 кг";15;6;;;283;28;6;4;4;14.9;2000;"www.betongrupp-ekb.ru";"/goods/33341719-asfalt_kholodny_renosfalt_tara_meshki_50_kg"
"гранитная брусчатка цена за м2";8;5;;;203;112;5;4;4;50.2;3000000;"www.betongrupp-ekb.ru";"/catalog/k-10042737-bruschatka"
"пп15 1";10;2;;;577;160;10;5;4;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/18920545-plita_perekrytiya_kolodtsa_pp_15_1"
"шпальный ящик";9;2;;;1169;46;18;4;4;0.3;247000;"www.betongrupp-ekb.ru";"/goods/64463223-shpalny_yashchik_sh_1"
"бр 300 30 15";12;4;;;9;6;4;4;4;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/22173505-bordyur_dorozhny_br_300_30_15"
"плитка тротуарная besser брусчатка размер 199х99х80 мм серая";13;8;;;58;14;10;4;4;0.3;2000000;"www.betongrupp-ekb.ru";"/catalog/k-5576703-bruschatka"
"купить плиты дорожные б у";49;5;;;2350;51;56;5;4;6.8;1000000;"www.betongrupp-ekb.ru";"/catalog/k-476449-plity_zhelezobetonnyye_dlya_pokryti_dorog"
"кольцо опорное кцо 1";10;4;;;417;80;35;16;4;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/26984204-koltso_opornoye_ktso_1"
"фо2";6;1;;;223;26;47;47;4;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/67140875-fundament_fo_2_750kh900kh550"
"купить плитку тротуарную в екатеринбурге от производителя недорого";10;8;;1;92;4;55;37;4;140;804000;"www.betongrupp-ekb.ru";"/catalog/k-7533592-trotuarnaya_plitka"
"бетонные";5;1;;;1013903;161;17025;7;4;2.7;2000000;"www.betongrupp-ekb.ru";"/catalog/k-7863378-betonnyye_izdeliya"
"ф 1 фундамент";8;3;;;421;5;15;10;4;0.3;4000000;"www.betongrupp-ekb.ru";"/goods/27341541-fundament_f1_a"
"3пб 21 8";9;3;;;187;46;11;4;4;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/153530484-peremychka_bruskovaya_zhelezobetonnaya_3pb_21_8"
"лс 15 1";2;3;;;199;16;16;6;4;0.3;0;"www.betongrupp-ekb.ru";"/goods/22350885-stupen_lestnichnaya_ls_15_1"
"тротуарная плитка калифорния";8;3;;;736;44;66;10;4;14.4;201000;"www.betongrupp-ekb.ru";"/catalog/k-5576709-kaliforniya"
"вп 22 12";7;3;;;116;39;4;4;4;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/153290380-plita_perekrytiya_kanalov_vp_22_12"
"щебень 5 10 цена за куб с доставкой";12;8;;;98;56;5;4;4;25.8;0;"www.betongrupp-ekb.ru";"/goods/22053366-shcheben_5_10"
"cn 175";14;2;;;1658;45;76;4;4;14.7;260000;"www.betongrupp-ekb.ru";"/goods/126195069-smes_cn_175_tserezit_universalnaya_samovyravnivayushchayasya_3_60mm_25_kg_1up_48sh"
"тротуарная плитка ромб";6;3;;;747;56;6;4;4;0.3;0;"www.betongrupp-ekb.ru";"/catalog/k-5576718-romb"
"лоток железобетонный лк";22;3;;;187;6;14;7;4;0.3;200000;"www.betongrupp-ekb.ru";"/goods/26746071-lotok_kanalov_lk_75_120_45_3"
"лего блоки для строительства купить";50;5;;;138;21;4;4;4;0.3;982000;"www.betongrupp-ekb.ru";"/catalog/k-10042736-stroitelnyye_bloki"
"а240с";49;1;;;1330;49;35;4;4;0.3;0;"www.betongrupp-ekb.ru";"/goods/106587089-armatura_f8_a1_a240"
"бр 100 30 15 цена";2;5;;;23;10;7;5;4;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/62031927-kamen_bordyurny_1000kh300kh150_sery"
"блок фбп";8;2;;;204;11;28;4;4;16.8;342000;"www.betongrupp-ekb.ru";"/catalog/k-10474726-bloki_fundamentnyye_unifitsirovannyye_dyrchatyye"
"бетонный блок для забора";4;4;;;1087;34;17;5;4;4.8;329000;"www.betongrupp-ekb.ru";"/catalog/k-4102619-elementy_betonnykh_ograzhdeni"
"кирпич керамический одинарный размером 250х120х65 мм марка 100 цена";11;9;;;116;81;4;4;4;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/67210663-kirpich_odinarny_m100"
"грунт цена за 1 м3 с доставкой";32;7;;;304;164;4;4;4;5.1;3000000;"www.betongrupp-ekb.ru";"/goods/33341788-chernozem_s_dostavkoy_obem_12_kub_metrov"
"плитка тактильная";6;2;;;9895;55;184;18;4;40.7;227000;"www.betongrupp-ekb.ru";"/catalog/k-5576724-taktilnaya"
"2пп15 2";12;2;;;184;60;8;4;4;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/31101317-plita_perekrytiya_kolodtsa_2pp_15_2"
"1пб 16 1";4;3;;;64;18;9;5;4;12.2;3000000;"www.betongrupp-ekb.ru";"/goods/153530464-peremychka_bruskovaya_zhelezobetonnaya_1pb_16_1"
"тонна цемента цена";5;3;;;1259;44;26;4;4;0.3;846000;"www.betongrupp-ekb.ru";"/catalog/k-8712517-tsement"
"заборный блок";1;2;;;3131;93;23;4;4;0.3;271000;"www.betongrupp-ekb.ru";"/catalog/k-4102619-elementy_betonnykh_ograzhdeni"
"старый город плитка";3;3;;;3408;119;78;11;4;115.4;1000000;"www.betongrupp-ekb.ru";"/catalog/k-5576743-stary_gorod"
"140 25";9;2;;;12294;49;303;4;4;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/31092274-truba_beznapornaya_tsp_140_25_1"
"9плиток ру интернет";42;3;;;582;208;9;9;4;22;3000000;"www.betongrupp-ekb.ru";"/catalog/k-7533592-trotuarnaya_plitka"
"гранитный бордюр гп 1";12;4;;;95;18;12;4;4;0.3;3000000;"www.betongrupp-ekb.ru";"/catalog/k-9060640-granitny_bordyur/ph:544350_gp-1"
"бордюрный камень тротуарный";6;3;;;1240;325;21;10;4;40.1;313000;"www.betongrupp-ekb.ru";"/catalog/k-8116437-bordyur_trotuarny_1000kh220kh80"
"полистиролблок купить";10;2;;;62;10;22;4;4;114.2;816000;"www.betongrupp-ekb.ru";"/catalog/k-7830607-polistirolblok"
"бордюр дорожный 1000х300х150 цена";3;4;;;248;24;4;4;4;26.9;1000000;"www.betongrupp-ekb.ru";"/catalog/k-10098572-dorozhny/ph:404734_1000kh300kh150-mm"
"тротуарная плитка волна";2;3;;;392;32;41;4;4;0.3;250000;"www.betongrupp-ekb.ru";"/catalog/k-5576738-volna"
"бетонный блок цена";8;3;;;1814;60;23;4;4;0.3;911000;"www.betongrupp-ekb.ru";"/catalog/k-10042736-stroitelnyye_bloki"
"плитка тротуарная калифорния";9;3;;;2122;90;77;8;4;48.4;241000;"www.betongrupp-ekb.ru";"/catalog/k-5576709-kaliforniya"
"бортовой камень гп1";6;3;;;336;41;62;12;4;140.3;12000;"www.betongrupp-ekb.ru";"/goods/168678125-bordyur_gp_1_iz_isetskogo_granita"
"бетононасос в аренду";7;3;;;883;35;18;4;4;77.8;308000;"www.betongrupp-ekb.ru";"/catalog/k-8549310-usligi_po_arende_betononasosa"
"перемычки из полистиролбетона";7;3;;;117;17;17;4;4;56;174000;"www.betongrupp-ekb.ru";"/catalog/k-8404166-peremychki_polistirolbetonnyye_ppb"
"асфальт холодный купить";7;3;;;12914;69;364;52;4;75.1;15000;"www.betongrupp-ekb.ru";"/catalog/k-805675-kholodnaya_asfaltobetonnaya_smes"
"фл 6 12 4";4;4;;;60;15;17;4;4;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/18920124-fundament_lentochny_fl_6_12_4"
"бр 100 20 8";8;4;;;301;80;13;7;4;1.7;3000000;"www.betongrupp-ekb.ru";"/goods/141141168-bordyur_trotuarny_br_100_20_8_1000kh200kh80_tsvet_sery"
"тактильная тротуарная плитка";2;3;;;479;51;28;8;3;33.3;0;"www.betongrupp-ekb.ru";"/catalog/k-5576724-taktilnaya"
"брусчатка цена";9;2;;;5254;194;18;3;3;15;785000;"www.betongrupp-ekb.ru";"/catalog/k-5576703-bruschatka"
"водоотводные лотки бетонные";7;3;;;14149;121;384;61;3;268.11;2000;"www.betongrupp-ekb.ru";"/catalog/k-7863401-vodostok_lotok_vodootvodny"
"плита перекрытия пп15";5;3;;;281;44;13;7;3;17.7;0;"www.betongrupp-ekb.ru";"/goods/110460511-plita_perekrytiya_kolodtsa_pp_15_pp15"
"смесь песчано гравийная природная купить";4;5;;;17;3;3;3;3;0.3;827000;"www.betongrupp-ekb.ru";"/catalog/k-5577924-peschano_graviynaya_smes_pgs"
"тротуарная плитка 600х600";18;3;;;427;57;6;6;3;137.2;2000;"www.betongrupp-ekb.ru";"/catalog/k-7533592-trotuarnaya_plitka"
"гп3";6;1;;;1584;193;31;4;3;20.1;7000;"www.betongrupp-ekb.ru";"/catalog/k-9060640-granitny_bordyur/ph:544350_gp-3"
"жб блоки";27;2;;;2456;56;66;3;3;0.3;320000;"www.betongrupp-ekb.ru";"/catalog/k-470922-fundamentny_blok_fbs"
"кольцо кцо 1";4;3;;;521;24;32;13;3;9.5;0;"www.betongrupp-ekb.ru";"/goods/26984204-koltso_opornoye_ktso_1"
"щебень 20 40 с доставкой";13;5;;;2252;9;187;3;3;99.1;2000000;"www.betongrupp-ekb.ru";"/catalog/k-5577929-fraktsiya_20_40"
"кюринг для бетона";9;3;;;153;52;6;3;3;0.3;194000;"www.betongrupp-ekb.ru";"/goods/187645665-sredstvo_po_ukhodu_za_betonom_kyuring_king_siller"
"гп 1 бортовой камень";7;4;;;227;23;11;7;3;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/168678125-bordyur_gp_1_iz_isetskogo_granita"
"колодец ккср 3";4;3;;;604;15;27;3;3;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/66168222-kabelny_kolodets_kxr_3_10_g"
"плитка тротуарная 400х400х40 цена";8;4;;;587;158;7;3;3;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/129194718-plitka_trotuarnaya_kremlevskaya_mostovaya_400kh400kh35"
"перевозка жби";29;2;;;396;44;9;3;3;0.3;375000;"www.betongrupp-ekb.ru";"/delivery"
"грунт земля купить с доставкой";29;5;;;182;26;5;3;3;27;1000000;"www.betongrupp-ekb.ru";"/goods/33341775-plodorodny_grunt_s_dostavkoy"
"песок в мешках купить";7;4;;;7143;299;130;14;3;28.8;23000;"www.betongrupp-ekb.ru";"/goods/155875663-pesok_rechnoy_myty_v_meshkakh_po_30_kg"
"лотки л1";7;2;;;1380;20;75;3;3;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/18920254-lotok_zhelezobetonny_l_1_8"
"лоток л6 8 2";13;4;;;328;98;12;3;3;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/148132283-lotok_l6_8_2_seriya_3_006_1_2_87"
"пб 60 15 8";6;4;;;103;27;8;4;3;28.5;2000000;"www.betongrupp-ekb.ru";"/goods/22207099-plita_perekrytiya_pb_60_15_8"
"размер вентблока";27;2;;;211;12;21;3;3;0.3;395000;"www.betongrupp-ekb.ru";"/catalog/k-5576733-ventblok"
"труба железобетонная";9;2;;;6860;75;176;8;3;42.5;239000;"www.betongrupp-ekb.ru";"/catalog/k-474219-truby_zhelezobetonnyye_beznapornyye/ph:404721_ts"
"металлический садовый бордюр";26;3;;;365;24;7;7;3;17.1;280000;"www.betongrupp-ekb.ru";"/goods/72597421-bordyur_sadovy_maly_500kh210kh35_sery"
"вт 9";45;2;;;23357;23;559;3;3;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/145691544-truba_khrizotiltsementnaya_napornaya_vt9_f400mm_l_5000mm"
"сколько стоит машина песка";19;4;1;;1499;172;11;11;3;0.3;921000;"www.betongrupp-ekb.ru";"/catalog/k-223144-pesok"
"полимерпесчаные кольца для канализации";40;4;;;98;16;4;3;3;0.3;225000;"www.betongrupp-ekb.ru";"/goods/66724174-koltso_dno_kolodtsa_polimerno_peschanogo_200mm_ves_55_kg"
"труба асбестоцементная 150 мм";48;4;;;831;20;11;3;3;0.3;509000;"www.betongrupp-ekb.ru";"/catalog/k-8173454-truby_asbestotsementnyye_i_khrizotiltsementnyye"
"лоток л4 15";6;3;;;115;16;4;3;3;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/26491881-lotok_zhelezobetonny_l_4_15_2"
"тротуарная плитка 40 на 40";15;5;;;1581;47;15;3;3;133.2;902000;"www.betongrupp-ekb.ru";"/catalog/k-7533592-trotuarnaya_plitka"
"кольцо кс 3";11;3;;;955;4;38;3;3;0.3;3000000;"www.betongrupp-ekb.ru";"/goods/110447366-koltso_x_7_3_kts_7_3"
"купить шлакоблок в екатеринбурге от производителя с доставкой";5;8;;1;6;4;3;3;3;48.6;977000;"www.betongrupp-ekb.ru";"/catalog/k-9204758-shlakoblok"
"гп3 бордюр";4;2;;;46;13;5;3;3;0.3;3000000;"www.betongrupp-ekb.ru";"/catalog/k-9060640-granitny_bordyur/ph:544350_gp-3"
"в15 бетон";7;2;;;11686;297;190;5;3;89.3;4000000;"www.betongrupp-ekb.ru";"/catalog/k-5576661-m200_v15"
"жб колонна";7;2;;;4748;30;158;3;3;0.3;218000;"www.betongrupp-ekb.ru";"/catalog/k-9830281-kolonny_zhelezobetonnyye"
"приставка пт 43";7;3;;;480;19;30;3;3;0.3;848000;"www.betongrupp-ekb.ru";"/goods/18989288-pristavka_pt_43_2"
"раствор готовый кладочный цементный м150";6;5;;;458;79;16;3;3;0.3;1000000;"www.betongrupp-ekb.ru";"/goods/147647469-smes_peschano_tsementnaya_zimnyaya_do_15_cbs_m_150_25_kg"
"бетонные блоки стеновые";5;3;;;700;27;11;3;3;9.7;322000;"www.betongrupp-ekb.ru";"/catalog/k-5576737-stenovoy_blok"
"тротуарная плитка екатеринбург купить от производителя";9;6;;1;131;16;69;13;3;481.2;758000;"www.betongrupp-ekb.ru";"/catalog/k-7533592-trotuarnaya_plitka"
"пгс 20м";30;2;;;76;14;3;3;3;0.3;2000000;"www.betongrupp-ekb.ru";"/goods/23888370-peschano_graviynaya_smes"
"плита дорожная пд 10";7;4;;;160;23;15;3;3;0.3;0;"www.betongrupp-ekb.ru";"/goods/128813527-pd_10"
"блок фб";5;2;;;347;10;5;3;3;0.3;362000;"www.betongrupp-ekb.ru";"/catalog/k-470922-fundamentny_blok_fbs"
"цена бетона м200";20;3;;;2204;43;36;3;3;0.3;0;"www.betongrupp-ekb.ru";"/catalog/k-5576661-m200_v15/ph:220648_rossiia&404726_m200"
"плодородный грунт купить";13;3;;;5721;258;50;9;3;12.4;712000;"www.betongrupp-ekb.ru";"/catalog/k-223141-plodorodny_grunt_chernozem"
